Date,Time,Open,High,Low,Close,Quantity,Average,Open – Close,Gain,Loss,Avg Gain,Avg Loss,RSI
08-Feb-2019,0,757,772.25,747,760.9,24397205,0,,,,,,
01-Feb-2019,0,731,762.5,716.5,757.05,40570356,0,,,,,,
25-Jan-2019,0,738.2,751,721,730.35,35037791,0,,,,,,
18-Jan-2019,0,707,739,695.95,730.95,61449107,0,,,,,,
11-Jan-2019,0,665,689.8,661.5,683.5,56652573,0,,,,,,
04-Jan-2019,0,660,677,651,661.05,28449923,0,,,,,,
28-Dec-2018,0,657,663.5,637.35,656.95,34628877,0,,,,,,
21-Dec-2018,0,711.85,711.85,643.45,646.2,45602614,0,,,,,,
14-Dec-2018,0,669.9,713.7,660.6,706.05,36250362,0,,,,,,
07-Dec-2018,0,673.15,688.25,664.55,682.8,34859820,0,,,,,,
30-Nov-2018,0,621,674.9,599.85,667.45,68925793,0,,,,,,
22-Nov-2018,0,659,662,612.1,620.75,32395821,0,,,,,,
16-Nov-2018,0,666,676.4,640.5,650.85,32676089,0,,,,,,
09-Nov-2018,0,663.5,679,655.5,659.5,23228050,0,,,,,,
02-Nov-2018,0,633.7,692.95,631.5,662.25,40393163,0,,,,,,
26-Oct-2018,0,688.7,695.05,629.9,633.6,36507315,0,,,,,,
19-Oct-2018,0,688.6,721.8,678,683.55,48592837,0,,,,,,
12-Oct-2018,0,725.05,728.7,661.5,678.8,42797887,0,,,,,,
05-Oct-2018,0,737.5,754.9,702.5,724.6,30761477,0,,,,,,
28-Sep-2018,0,706.5,736,706.5,730.05,46922407,0,,,,,,
21-Sep-2018,0,735,740,692,705.3,32357053,0,,,,,,
14-Sep-2018,0,737.75,747,729.05,733.7,25126563,0,,,,,,
07-Sep-2018,0,724.5,748.5,715,732.8,47114694,0,,,,,,
31-Aug-2018,0,691.5,727.15,690.7,720.55,41540162,0,,,,,,
24-Aug-2018,0,694,703.98,686.75,689.15,39233540,0,,,,,,
17-Aug-2018,0,695,718.83,689.35,715.18,29148248,0,,,,,,
10-Aug-2018,0,683.03,694.73,673.75,692.73,28711860,0,,,,,,
03-Aug-2018,0,685,686.5,667.78,682.05,28940804,0,,,,,,
27-Jul-2018,0,676.08,696.9,668.13,686.73,34640320,0,,,,,,
20-Jul-2018,0,658.7,692.2,643.85,674.05,70249988,0,,,,,,
13-Jul-2018,0,648.5,671.05,639.53,658.7,57287716,0,,,,,,
06-Jul-2018,0,657,678.95,634.05,642.13,46218576,0,,,,,,
29-Jun-2018,0,628.58,657.5,627,653.6,40130242,0,,,,,,
22-Jun-2018,0,642,645.63,618,623.93,31274256,0,,,,,,
15-Jun-2018,0,632.78,645.75,617.05,640.63,46334646,0,,,,,,
08-Jun-2018,0,610.55,631,606,630.03,26155306,0,,,,,,
01-Jun-2018,0,615.5,623.13,602.8,610.4,40170490,0,,,,,,
25-May-2018,0,589.78,624.33,585,614.15,42292574,0,,,,,,
18-May-2018,0,592.18,604,585,591.6,32908330,0,,,,,,
11-May-2018,0,590.63,595,580.53,590.38,20635588,0,,,,,,
04-May-2018,0,590.85,603.98,577.5,586.55,27162318,0,,,,,,
27-Apr-2018,0,584,607.2,572.6,592.6,60916486,0,,,,,,
20-Apr-2018,0,551,596.85,551,589.23,78371638,0,,,,,,
13-Apr-2018,0,562.5,592.95,552.7,585.73,63425918,0,,,,,,
06-Apr-2018,0,570.5,575.65,560,563.5,30664458,0,,,,,,
28-Mar-2018,0,583.45,583.45,563.13,565.9,25291132,0,,,,,,
23-Mar-2018,0,582,590.25,571.18,583.8,42594632,0,,,,,,
16-Mar-2018,0,588,598.5,584.55,585.95,44744058,0,,,,,,
09-Mar-2018,0,580.38,585.4,569.03,581.7,31475584,0,,,,,,
01-Mar-2018,0,575.5,594.75,562.83,580.38,35547902,0,,,,,,
23-Feb-2018,0,564.2,583,551.88,577.83,54741594,0,,,,,,
16-Feb-2018,0,557.4,570.83,545.1,564.03,32513642,0,,,,,,
09-Feb-2018,0,570,577.43,547.58,554.58,41944288,0,,,,,,
02-Feb-2018,0,583.28,598.13,559.28,571.63,51914952,0,,,,,,
25-Jan-2018,0,566.08,610.53,566,587.7,59207642,0,,,,,,
19-Jan-2018,0,540,582.45,532.55,571.73,78643552,0,,,,,,
